"id","parent_id/id","name","suoxie"
"wms.shebei_catagory_xinhaoji","","信号机",""
"__export__.wms_shebei_10","","轨道电路",""
"__export__.wms_shebei_8","__export__.wms_shebei_10","25Hz",""
"__export__.wms_shebei_9_06270d35","__export__.wms_shebei_10","ZPW-2000A","zpw2000a"
"__export__.wms_shebei_9","__export__.wms_shebei_10","ZPW-2000K","zpw2000k"
"wms.shebei_catagory_zhuanzheji","","转辙机",""
"__export__.wms_shebei_2","wms.shebei_catagory_zhuanzheji","ZD6",""
"__export__.wms_shebei_11_bec59250","wms.shebei_catagory_zhuanzheji","ZD7","zd7"
"__export__.wms_shebei_12_6eaae553","__export__.wms_shebei_11_bec59250","ZD7-A",""
"__export__.wms_shebei_4","wms.shebei_catagory_zhuanzheji","ZY4",""
"__export__.wms_shebei_3","wms.shebei_catagory_zhuanzheji","ZYJ7",""
"__export__.wms_shebei_10_66fd3549","","继电器","jdq"
